"","X","geo_id1","geo_id2","state","less_than_9th","X9th_to_12th","hs_grad","some_col","associates","bachelors","graduate","at_least_hs_grad","at_least_bachelors","poverty_less_than_hs_grad","poverty_hs_grad","poverty_some_college_assoc","poverty_at_least_bachelors","Abbreviation","year"
"1",1,"0400000US01",1,"Alabama",6.4,12.7,31.8,20.7,6.7,13.7,7.8,80.8,21.5,28,13.9,9.1,3.3,"AL",2009
"2",2,"0400000US02",2,"Alaska",3.5,5.8,28.5,27.8,7.9,17.1,9.5,90.7,26.5,16.3,11.1,5.8,2.6,"AK",2009
"3",3,"0400000US04",4,"Arizona",7.2,8.9,25.6,24.8,7.8,16.4,9.3,83.9,25.7,25.1,12.7,8.4,4.2,"AZ",2009
"4",4,"0400000US05",5,"Arkansas",7.2,11.4,35.4,21.4,5.6,12.6,6.3,81.3,18.9,27.3,14,10.7,3.8,"AR",2009
"5",5,"0400000US06",6,"California",10.4,9.1,21.9,21.2,7.6,19.1,10.7,80.5,29.7,21.3,11.9,7.8,4.2,"CA",2009
"6",6,"0400000US08",8,"Colorado",4.5,6.7,23.7,22.1,7.6,22.9,12.6,88.9,35.5,24.6,10.8,7.8,3.6,"CO",2009
"7",7,"0400000US09",9,"Connecticut",4.7,7.1,28.8,17.1,7.3,19.9,15.2,88.2,35.1,20.2,8.1,5.7,2.6,"CT",2009
"8",8,"0400000US10",10,"Delaware",4.3,9.1,32.2,19.4,7.3,16.6,10.9,86.5,27.5,19.5,9.4,5.7,2.8,"DE",2009
"9",9,"0400000US11",11,"District of Columbia",5.6,8.9,20.7,14.4,3.2,20.8,26.4,85.5,47.1,32,21.5,14.6,4.7,"DC",2009
"10",10,"0400000US12",12,"Florida",5.7,9.4,30.5,20.4,8.4,16.6,9,84.9,25.6,23.1,12,7.9,4.5,"FL",2009
"11",11,"0400000US13",13,"Georgia",6.2,10.8,29.7,19.7,6.4,17.5,9.6,82.9,27.1,27.2,13.1,8.2,3.5,"GA",2009
"12",12,"0400000US15",15,"Hawaii",5,5.6,29.3,21.2,9.8,19.5,9.7,89.5,29.2,15.9,9.3,7.1,4.4,"HI",2009
"13",13,"0400000US16",16,"Idaho",4.5,7.8,29.3,26.3,8.4,16.4,7.4,87.7,23.7,21.9,11.4,8.6,4.1,"ID",2009
"14",14,"0400000US17",17,"Illinois",6.3,8,28.1,20.6,7.2,18.6,11.2,85.7,29.8,22,11,7.8,3.6,"IL",2009
"15",15,"0400000US18",18,"Indiana",4.4,9.8,36.5,20.1,7.2,14,7.9,85.7,21.9,22.3,10,7.7,3.2,"IN",2009
"16",16,"0400000US19",19,"Iowa",4.1,6.3,34.9,21.1,9.5,16.8,7.4,89.6,24.2,20.3,8.7,6.9,2.9,"IA",2009
"17",17,"0400000US20",20,"Kansas",4.2,6.8,29.5,23.5,7.2,19,9.8,89,28.8,22.8,10.3,7.3,3,"KS",2009
"18",18,"0400000US21",21,"Kentucky",8.5,11.2,34.5,19.2,6.5,11.9,8.1,80.3,20,30.5,13.9,9.6,3.4,"KY",2009
"19",19,"0400000US22",22,"Louisiana",7.1,12.4,34.9,20.3,4.6,13.8,6.8,80.5,20.6,29.3,14.4,9.7,3.8,"LA",2009
"20",20,"0400000US23",23,"Maine",4,6.7,35.5,18.8,8.9,17.1,9,89.4,26.1,25,11.7,8.4,3.8,"ME",2009
"21",21,"0400000US24",24,"Maryland",4.3,8.2,26.8,19.3,6.3,19.6,15.6,87.5,35.2,18.2,8.3,5.2,2.4,"MD",2009
"22",22,"0400000US25",25,"Massachusetts",4.9,6.7,27.2,15.8,7.6,21.7,16.1,88.4,37.8,22.2,10.2,7.1,3.7,"MA",2009
"23",23,"0400000US26",26,"Michigan",3.7,8.9,31.8,23.1,8,15.2,9.3,87.4,24.5,25.1,12.7,9.1,3.5,"MI",2009
"24",24,"0400000US27",27,"Minnesota",3.6,5.2,28.1,22.3,9.5,21.2,10,91.1,31.2,22.3,9.4,6.2,2.8,"MN",2009
"25",25,"0400000US28",28,"Mississippi",7.5,13.6,31.2,21.2,7.5,12.4,6.7,78.9,19.1,32.9,17.2,11.6,4.3,"MS",2009
"26",26,"0400000US29",29,"Missouri",4.9,9.5,33,21.6,6.4,15.6,9,85.6,24.6,24.4,11.5,8.4,3.4,"MO",2009
"27",27,"0400000US30",30,"Montana",3.2,6.4,31.9,23.8,7.6,18.7,8.3,90.4,27,23.3,12.1,10.5,5.2,"MT",2009
"28",28,"0400000US31",31,"Nebraska",4.3,6.1,30.3,23.4,8.9,18.5,8.5,89.7,27.1,20.7,9.6,7.7,3.3,"NE",2009
"29",29,"0400000US32",32,"Nevada",6.5,9.8,29.9,25.1,7.3,14.3,7.2,83.7,21.5,17.1,9.2,6.9,4.3,"NV",2009
"30",30,"0400000US33",33,"New Hampshire",3,6.5,30.2,18.7,9.2,20.9,11.6,90.5,32.4,16.4,7.3,5.7,2.7,"NH",2009
"31",31,"0400000US34",34,"New Jersey",5.6,7.6,29.9,16.6,6.2,21.5,12.7,86.8,34.1,18.6,8.6,5.7,2.7,"NJ",2009
"32",32,"0400000US35",35,"New Mexico",8,9.9,27.4,22.5,7.1,14.5,10.6,82.1,25.1,30.9,15.2,10.6,4.8,"NM",2009
"33",33,"0400000US36",36,"New York",7,8.8,28.6,15.6,8.1,18.2,13.6,84.2,31.8,26,12.4,8.7,4.5,"NY",2009
"34",34,"0400000US37",37,"North Carolina",6.3,10.7,28.6,20.4,8.2,17.3,8.5,83,25.8,26.4,13,8.9,3.3,"NC",2009
"35",35,"0400000US38",38,"North Dakota",6,5.2,28.5,22.9,11.8,19.1,6.5,88.7,25.6,21.5,10,7,3.3,"ND",2009
"36",36,"0400000US39",39,"Ohio",3.5,9.7,36.3,19.8,7.1,15,8.6,86.8,23.6,24.2,11.2,8.7,3.5,"OH",2009
"37",37,"0400000US40",40,"Oklahoma",5,10.2,32.7,23,6.7,15.1,7.3,84.8,22.4,26.1,14,9.9,3.9,"OK",2009
"38",38,"0400000US41",41,"Oregon",4.3,7.5,26,26.1,8,18.1,10.2,88.3,28.3,22.5,12.4,9.8,5,"OR",2009
"39",39,"0400000US42",42,"Pennsylvania",4.1,9.1,38.1,15.6,7.2,16.1,9.9,86.9,26,21.9,10.3,7.4,3.4,"PA",2009
"40",40,"0400000US44",44,"Rhode Island",7,9.6,28.7,17.2,7.7,18.2,11.5,83.4,29.8,21.5,9.8,6.6,3.3,"RI",2009
"41",41,"0400000US45",45,"South Carolina",6.2,11.6,31.5,19.1,8.2,15.3,8.2,82.2,23.5,27.8,13.7,8.3,3.6,"SC",2009
"42",42,"0400000US46",46,"South Dakota",5.1,6.1,33.3,21.6,9.4,17.6,7,88.8,24.6,26,11,8.6,3.3,"SD",2009
"43",43,"0400000US47",47,"Tennessee",7.1,11.1,33.5,20.1,5.8,14.6,7.8,81.8,22.4,28.1,13.4,8.8,3.4,"TN",2009
"44",44,"0400000US48",48,"Texas",10.3,10.4,26.2,21.5,6.2,17,8.3,79.3,25.4,27.6,13.4,8.5,3.8,"TX",2009
"45",45,"0400000US49",49,"Utah",3.1,6.5,25.4,27,9.2,19.5,9.3,90.4,28.7,18.7,9.1,6.5,3.7,"UT",2009
"46",46,"0400000US50",50,"Vermont",3.5,6.3,32.3,16.5,8.4,20.1,12.8,90.1,32.9,22.2,9.5,7.6,3.9,"VT",2009
"47",47,"0400000US51",51,"Virginia",5.5,8.7,26.3,19.4,6.6,19.8,13.6,85.8,33.4,21.1,9.3,5.8,2.5,"VA",2009
"48",48,"0400000US53",53,"Washington",4,6.6,24.6,24.7,9.3,19.9,10.9,89.4,30.8,22.7,11.1,8.3,3.8,"WA",2009
"49",49,"0400000US54",54,"West Virginia",6.9,11.5,41.4,17.3,5.7,10.4,6.7,81.6,17.1,27.9,13.6,10.4,4.1,"WV",2009
"50",50,"0400000US55",55,"Wisconsin",3.8,7.2,34.3,20.5,8.8,17,8.4,89,25.5,20.5,8.9,6.6,3,"WI",2009
"51",51,"0400000US56",56,"Wyoming",2.7,6.3,31.9,26.6,9.3,15.6,7.7,91.1,23.2,17.2,7.7,6.3,2.8,"WY",2009
"52",52,"0400000US01",1,"Alabama",6.3,12.3,31.8,21,6.9,13.8,7.9,81.4,21.7,28.5,14.1,9.7,3.5,"AL",2010
"53",53,"0400000US02",2,"Alaska",3.5,5.8,27.4,28.3,8,17.4,9.6,90.7,27,16.8,10.3,5.8,2.6,"AK",2010
"54",54,"0400000US04",4,"Arizona",6.6,8.4,25.1,25.5,8,16.7,9.6,85,26.3,26.7,13.3,8.8,4.2,"AZ",2010
"55",55,"0400000US05",5,"Arkansas",6.9,11.2,35.3,21.6,5.8,12.8,6.4,81.9,19.1,27.3,14.2,10.9,3.6,"AR",2010
"56",56,"0400000US06",6,"California",10.4,8.9,21.5,21.5,7.7,19.2,10.8,80.7,30.1,22.2,12.5,8.2,4.3,"CA",2010
"57",57,"0400000US08",8,"Colorado",4.4,6.3,23.3,22.3,7.7,23,12.9,89.3,35.9,25.2,11.2,8.1,3.9,"CO",2010
"58",58,"0400000US09",9,"Connecticut",4.7,7,28.6,17.3,7.3,19.9,15.3,88.4,35.2,20.6,8.6,6.1,2.7,"CT",2010
"59",59,"0400000US10",10,"Delaware",4.2,8.7,32.2,19.8,7.4,16.6,11.1,87,27.7,19.9,9.4,6.1,3,"DE",2010
"60",60,"0400000US11",11,"District of Columbia",5,8.5,19.9,14.2,3.1,22,27.2,86.5,49.2,31.9,22.2,14.6,5.1,"DC",2010
"61",61,"0400000US12",12,"Florida",5.7,9,30.3,20.6,8.5,16.8,9.1,85.3,25.9,24.1,12.7,8.6,4.8,"FL",2010
"62",62,"0400000US13",13,"Georgia",6.1,10.4,29.6,20.1,6.6,17.5,9.7,83.5,27.2,28.2,13.8,8.8,3.7,"GA",2010
"63",63,"0400000US15",15,"Hawaii",4.9,5.4,29,21.6,9.8,19.7,9.8,89.8,29.4,16,9.2,7.3,4.4,"HI",2010
"64",64,"0400000US16",16,"Idaho",4.4,7.5,28.8,26.6,8.5,16.7,7.6,88.2,24.3,22.1,11.7,8.9,4.4,"ID",2010
"65",65,"0400000US17",17,"Illinois",6,7.8,27.9,20.8,7.3,18.9,11.4,86.2,30.3,22.4,11.1,8.1,3.7,"IL",2010
"66",66,"0400000US18",18,"Indiana",4.3,9.5,36.2,20.3,7.3,14.3,8.1,86.2,22.4,22.7,10.4,8.1,3.3,"IN",2010
"67",67,"0400000US19",19,"Iowa",4,6.1,34.4,21.4,9.7,17,7.5,89.9,24.5,20.6,9,7.5,3,"IA",2010
"68",68,"0400000US20",20,"Kansas",4.2,6.6,28.9,23.7,7.3,19.3,10.1,89.2,29.3,23.4,10.7,7.7,3.1,"KS",2010
"69",69,"0400000US21",21,"Kentucky",8.2,10.8,34.4,19.6,6.6,12.1,8.2,81,20.3,31,14,10.1,3.6,"KY",2010
"70",70,"0400000US22",22,"Louisiana",6.9,12.2,34.8,20.5,4.8,14,6.9,81,20.9,28.5,14.3,10,4.1,"LA",2010
"71",71,"0400000US23",23,"Maine",3.8,6.4,35.2,19.2,8.9,17.2,9.4,89.8,26.5,25.1,11.9,8.4,3.7,"ME",2010
"72",72,"0400000US24",24,"Maryland",4.4,7.8,26.4,19.3,6.3,19.8,16,87.8,35.7,18.4,8.7,5.5,2.5,"MD",2010
"73",73,"0400000US25",25,"Massachusetts",4.9,6.4,26.7,16,7.6,21.9,16.4,88.7,38.3,23.3,10.3,7.4,3.6,"MA",2010
"74",74,"0400000US26",26,"Michigan",3.5,8.4,31.5,23.4,8.1,15.5,9.6,88,25,25.8,13.1,9.7,3.8,"MI",2010
"75",75,"0400000US27",27,"Minnesota",3.6,5.1,27.8,22.4,9.7,21.3,10.1,91.3,31.4,23.7,9.9,6.7,2.8,"MN",2010
"76",76,"0400000US28",28,"Mississippi",7.2,13.2,30.9,21.7,7.6,12.6,6.8,79.6,19.5,32.4,17.1,11.9,4.5,"MS",2010
"77",77,"0400000US29",29,"Missouri",4.7,9.2,32.6,22,6.6,15.8,9.2,86.2,25,25.2,11.7,8.7,3.6,"MO",2010
"78",78,"0400000US30",30,"Montana",3,6.1,31.2,24,7.9,19.2,8.6,91,27.9,23.7,12.4,10.4,5.2,"MT",2010
"79",79,"0400000US31",31,"Nebraska",4.1,5.9,29.6,23.7,9,18.9,8.8,90,27.7,21.6,9.9,7.7,3.1,"NE",2010
"80",80,"0400000US32",32,"Nevada",6.3,9.4,29.7,25.5,7.3,14.4,7.4,84.3,21.8,18.1,9.7,7.5,4.4,"NV",2010
"81",81,"0400000US33",33,"New Hampshire",2.9,6.2,29.7,18.8,9.5,21,11.9,90.9,32.9,16.3,7.8,5.9,2.6,"NH",2010
"82",82,"0400000US34",34,"New Jersey",5.5,7.2,29.8,16.7,6.2,21.6,13,87.3,34.6,18.9,8.8,5.9,2.8,"NJ",2010
"83",83,"0400000US35",35,"New Mexico",7.8,9.5,27,23.1,7.2,14.6,10.8,82.7,25.5,31.3,15.6,11.2,4.9,"NM",2010
"84",84,"0400000US36",36,"New York",7,8.6,28.2,15.9,8.2,18.3,13.8,84.4,32.1,26.6,12.7,9,4.6,"NY",2010
"85",85,"0400000US37",37,"North Carolina",6.1,10.3,28.2,20.9,8.3,17.4,8.7,83.6,26.1,27.5,13.4,9.3,3.4,"NC",2010
"86",86,"0400000US38",38,"North Dakota",5.6,5,28.1,23.1,11.9,19.4,6.9,89.4,26.3,22,10.2,7.6,3.7,"ND",2010
"87",87,"0400000US39",39,"Ohio",3.4,9.2,35.8,20.1,7.3,15.3,8.8,87.4,24.1,24.7,11.5,9.3,3.6,"OH",2010
"88",88,"0400000US40",40,"Oklahoma",4.8,9.8,32.6,23.5,6.7,15.2,7.4,85.4,22.6,25.8,14.2,9.8,4,"OK",2010
"89",89,"0400000US41",41,"Oregon",4.3,7.2,25.6,26.3,8.1,18.3,10.4,88.6,28.6,23.2,12.7,10.2,5.1,"OR",2010
"90",90,"0400000US42",42,"Pennsylvania",4,8.6,37.8,15.9,7.3,16.3,10.1,87.4,26.4,22.3,10.5,7.6,3.4,"PA",2010
"91",91,"0400000US44",44,"Rhode Island",7,9.4,28.2,17.5,7.6,18.5,11.9,83.7,30.3,21.9,10.4,7,3.7,"RI",2010
"92",92,"0400000US45",45,"South Carolina",5.9,11.1,31.2,19.5,8.3,15.5,8.4,83,24,28.8,14.2,9,3.6,"SC",2010
"93",93,"0400000US46",46,"South Dakota",4.9,5.8,32.7,21.7,9.5,18,7.3,89.3,25.3,26.8,11.5,8.5,3.7,"SD",2010
"94",94,"0400000US47",47,"Tennessee",6.8,10.7,33.4,20.4,6,14.7,8,82.5,22.7,28.3,14,9.1,3.7,"TN",2010
"95",95,"0400000US48",48,"Texas",10,10,26,22,6.3,17.3,8.5,80,25.8,27.6,13.6,8.6,3.8,"TX",2010
"96",96,"0400000US49",49,"Utah",3.2,6.2,24.8,27.1,9.2,19.9,9.5,90.6,29.4,20.2,9.4,7,4,"UT",2010
"97",97,"0400000US50",50,"Vermont",3.3,6.2,32,16.8,8.4,20.2,13.1,90.6,33.3,22.4,9.7,7.9,4,"VT",2010
"98",98,"0400000US51",51,"Virginia",5.5,8.4,26,19.6,6.7,19.9,13.9,86.1,33.8,21.3,9.6,6.2,2.5,"VA",2010
"99",99,"0400000US53",53,"Washington",4.1,6.4,24.3,24.9,9.4,20,11,89.6,31,23.5,11.1,8.5,3.9,"WA",2010
"100",100,"0400000US54",54,"West Virginia",6.8,11.3,41.3,17.6,5.8,10.6,6.7,81.9,17.3,28.5,13.5,10.2,4,"WV",2010
"101",101,"0400000US55",55,"Wisconsin",3.7,6.9,34,20.6,9,17.1,8.6,89.4,25.8,21.3,9.4,7,3,"WI",2010
"102",102,"0400000US56",56,"Wyoming",2.7,5.9,31.3,26.7,9.8,15.7,7.8,91.3,23.6,17.9,8.6,6.1,3.1,"WY",2010
"103",103,"0400000US01",1,"Alabama",6.1,12,31.4,21.5,7,14,8,81.9,22,28.6,14.6,10.4,3.6,"AL",2011
"104",104,"0400000US02",2,"Alaska",3.2,5.4,27.2,28.9,8,17.7,9.5,91.4,27.2,16.9,10.6,5.9,2.5,"AK",2011
"105",105,"0400000US04",4,"Arizona",6.6,8.2,24.7,26,8.1,16.8,9.6,85.2,26.4,28.7,14.1,9.5,4.5,"AZ",2011
"106",106,"0400000US05",5,"Arkansas",6.7,10.7,35.2,21.9,5.9,13,6.6,82.7,19.6,27.6,14.8,11.6,3.8,"AR",2011
"107",107,"0400000US06",6,"California",10.4,8.8,21.1,21.8,7.7,19.3,11,80.8,30.2,23.3,13.3,8.9,4.5,"CA",2011
"108",108,"0400000US08",8,"Colorado",4.3,6.1,22.9,22.5,7.9,23.3,13,89.7,36.3,25.6,11.7,8.4,4.1,"CO",2011
"109",109,"0400000US09",9,"Connecticut",4.6,6.8,28.1,17.4,7.3,20.1,15.6,88.6,35.7,21.7,9,6.4,2.8,"CT",2011
"110",110,"0400000US10",10,"Delaware",4.2,8.5,31.7,20.3,7.4,16.7,11.3,87.4,28,20.6,9.7,6.3,3,"DE",2011
"111",111,"0400000US11",11,"District of Columbia",5,7.9,19.5,14.2,2.9,22.4,28.1,87.1,50.5,32,22.9,15.3,4.9,"DC",2011
"112",112,"0400000US12",12,"Florida",5.7,8.8,30.1,20.9,8.6,16.8,9.2,85.5,26,25.3,13.7,9.2,5,"FL",2011
"113",113,"0400000US13",13,"Georgia",5.9,10.1,29.4,20.5,6.6,17.7,9.8,84,27.5,29.3,14.7,9.6,4.1,"GA",2011
"114",114,"0400000US15",15,"Hawaii",4.7,5.2,28.7,22.1,9.8,19.6,9.9,90.1,29.5,17.1,9.9,7.8,4.5,"HI",2011
"115",115,"0400000US16",16,"Idaho",4.4,7.2,28.4,26.9,8.6,16.9,7.6,88.5,24.6,22.5,12.2,9.4,4.8,"ID",2011
"116",116,"0400000US17",17,"Illinois",5.8,7.5,27.6,21.1,7.3,19.1,11.6,86.6,30.7,22.9,11.7,8.7,3.8,"IL",2011
"117",117,"0400000US18",18,"Indiana",4.2,9.1,35.8,20.6,7.5,14.6,8.1,86.6,22.7,23.8,10.8,8.7,3.4,"IN",2011
"118",118,"0400000US19",19,"Iowa",3.9,5.8,33.8,21.7,10,17.2,7.7,90.3,24.9,21.1,9.2,7.8,3,"IA",2011
"119",119,"0400000US20",20,"Kansas",4.2,6.3,28.4,24,7.4,19.5,10.2,89.5,29.7,23.6,11,8,3.3,"KS",2011
"120",120,"0400000US21",21,"Kentucky",7.9,10.4,34.3,20.1,6.7,12.3,8.4,81.7,20.6,31.4,14.3,10.8,3.7,"KY",2011
"121",121,"0400000US22",22,"Louisiana",6.7,11.7,34.6,21,4.9,14.2,7,81.6,21.1,29,14.7,10.5,4.3,"LA",2011
"122",122,"0400000US23",23,"Maine",3.6,6.1,34.5,19.7,9,17.4,9.7,90.2,27.1,25.5,12.4,8.6,3.9,"ME",2011
"123",123,"0400000US24",24,"Maryland",4.5,7.4,26.2,19.6,6.3,19.9,16.1,88.2,36.1,19.1,9.2,6,2.7,"MD",2011
"124",124,"0400000US25",25,"Massachusetts",4.9,6.2,26.3,16.2,7.6,22.1,16.6,88.9,38.7,23.8,10.4,7.7,3.7,"MA",2011
"125",125,"0400000US26",26,"Michigan",3.5,8.1,31.1,23.8,8.2,15.6,9.7,88.4,25.3,26.9,13.7,10.5,3.9,"MI",2011
"126",126,"0400000US27",27,"Minnesota",3.5,5,27.5,22.5,9.8,21.5,10.3,91.6,31.8,24.8,10.2,7.2,2.9,"MN",2011
"127",127,"0400000US28",28,"Mississippi",6.9,12.8,30.6,22.3,7.8,12.6,7,80.3,19.7,32.7,17.6,12.6,4.7,"MS",2011
"128",128,"0400000US29",29,"Missouri",4.4,8.8,32.1,22.5,6.7,16,9.4,86.8,25.4,25.3,12,9.2,3.8,"MO",2011
"129",129,"0400000US30",30,"Montana",2.6,5.9,30.8,24.5,8,19.4,8.8,91.4,28.2,24,12.7,10.4,4.9,"MT",2011
"130",130,"0400000US31",31,"Nebraska",4,5.7,29.2,24.1,9.2,18.9,8.9,90.3,27.8,21.7,10,8,3.1,"NE",2011
"131",131,"0400000US32",32,"Nevada",6.4,9.4,29.2,25.6,7.2,14.7,7.5,84.2,22.2,19.7,10.6,8.4,4.7,"NV",2011
"132",132,"0400000US33",33,"New Hampshire",2.9,5.9,29.5,19.1,9.5,21,12.1,91.2,33.1,16.5,8,6.1,2.5,"NH",2011
"133",133,"0400000US34",34,"New Jersey",5.5,6.8,29.6,16.9,6.2,21.8,13.1,87.6,35,19.6,9.2,6.3,2.9,"NJ",2011
"134",134,"0400000US35",35,"New Mexico",7.7,9.3,26.7,23.6,7.3,14.7,10.8,83.1,25.4,31.7,16.3,11.8,5.2,"NM",2011
"135",135,"0400000US36",36,"New York",7,8.4,27.8,16.1,8.2,18.5,14,84.6,32.5,27,13.2,9.3,4.7,"NY",2011
"136",136,"0400000US37",37,"North Carolina",6,9.9,27.7,21.4,8.5,17.7,8.9,84.1,26.5,28.3,13.9,10,3.6,"NC",2011
"137",137,"0400000US38",38,"North Dakota",5.2,4.8,27.4,23.7,12.3,19.6,6.9,90,26.5,22,10.4,7.6,3.4,"ND",2011
"138",138,"0400000US39",39,"Ohio",3.4,8.8,35.4,20.5,7.5,15.5,9,87.8,24.5,25.9,11.9,9.9,3.7,"OH",2011
"139",139,"0400000US40",40,"Oklahoma",4.7,9.4,32.1,24,6.8,15.5,7.6,85.9,23,26.2,14.2,10.2,3.9,"OK",2011
"140",140,"0400000US41",41,"Oregon",4.2,7,25.2,26.6,8.1,18.4,10.6,88.9,29,24.3,13.5,10.8,5.3,"OR",2011
"141",141,"0400000US42",42,"Pennsylvania",3.9,8.2,37.6,16.3,7.4,16.5,10.2,87.9,26.7,23.1,10.7,8,3.4,"PA",2011
"142",142,"0400000US44",44,"Rhode Island",6.8,9,27.7,18.1,7.9,18.6,12,84.3,30.6,22.9,11.2,7.5,3.7,"RI",2011
"143",143,"0400000US45",45,"South Carolina",5.8,10.6,30.9,20.1,8.4,15.6,8.6,83.6,24.2,29.9,14.9,9.6,3.6,"SC",2011
"144",144,"0400000US46",46,"South Dakota",4.6,5.6,32.1,22.1,9.7,18.2,7.6,89.8,25.8,26.4,11,8.7,4.2,"SD",2011
"145",145,"0400000US47",47,"Tennessee",6.5,10.3,33.3,20.8,6,14.9,8.1,83.2,23,28.9,14.5,9.7,3.7,"TN",2011
"146",146,"0400000US48",48,"Texas",9.8,9.8,25.7,22.3,6.4,17.4,8.6,80.4,26.1,28.2,14,8.9,3.8,"TX",2011
"147",147,"0400000US49",49,"Utah",3.1,6.3,24.4,27.4,9.2,20.1,9.5,90.6,29.6,21.2,10.1,7.6,3.9,"UT",2011
"148",148,"0400000US50",50,"Vermont",3.1,5.9,31.7,17.1,8.4,20.5,13.3,91,33.8,22.2,10.2,8.4,4,"VT",2011
"149",149,"0400000US51",51,"Virginia",5.4,8,25.6,19.9,6.7,20.2,14.2,86.6,34.4,21.8,10.1,6.6,2.6,"VA",2011
"150",150,"0400000US53",53,"Washington",4.1,6.2,23.9,25.1,9.4,20.1,11.3,89.8,31.4,24.8,11.4,8.8,3.9,"WA",2011
"151",151,"0400000US54",54,"West Virginia",6.5,10.9,41,18,6,10.9,6.8,82.6,17.6,28.9,13.8,10.5,4,"WV",2011
"152",152,"0400000US55",55,"Wisconsin",3.6,6.6,33.6,21,9.1,17.3,8.8,89.8,26,22,9.6,7.5,3.2,"WI",2011
"153",153,"0400000US56",56,"Wyoming",2.5,5.6,30.5,27.2,10,16,8.2,91.9,24.2,18.5,8.7,6.5,3.2,"WY",2011
