"","X","geo_id1","geo_id2","state","less_than_9th","X9th_to_12th","hs_grad","some_col","associates","bachelors","graduate","at_least_hs_grad","at_least_bachelors","poverty_less_than_hs_grad","poverty_hs_grad","poverty_some_college_assoc","poverty_at_least_bachelors","Abbreviation","year"
"306",306,"0400000US56",56,"Wyoming",2.1,5.6,29.4,27.4,10.4,16.8,8.3,92.3,25.1,19.9,10.2,7.4,4.1,"WY",2014
"307",307,"0400000US01",1,"Alabama",5.2,10.6,31,22,7.8,14.8,8.7,84.3,23.5,30.9,16.4,12.3,4.4,"AL",2015
"308",308,"0400000US02",2,"Alaska",2.9,5,27.8,28.2,8.1,17.9,10.1,92.1,28,19,11.7,6.3,2.7,"AK",2015
"309",309,"0400000US04",4,"Arizona",6.2,7.7,24.4,25.7,8.5,17.3,10.2,86,27.5,32.1,17,11.2,5.4,"AZ",2015
"310",310,"0400000US05",5,"Arkansas",5.7,9.6,34.9,22.5,6.3,13.6,7.5,84.8,21.1,29.4,16.4,12.9,4.4,"AR",2015
"311",311,"0400000US06",6,"California",10,8.2,20.7,21.8,7.8,19.8,11.6,81.8,31.4,26,15.7,11,5.3,"CA",2015
"312",312,"0400000US08",8,"Colorado",3.9,5.4,21.8,22.5,8.3,24.1,14,90.7,38.1,24.9,12.3,9.2,4.5,"CO",2015
"313",313,"0400000US09",9,"Connecticut",4.3,5.9,27.4,17.5,7.4,21,16.6,89.9,37.6,24,10.9,7.9,3.3,"CT",2015
"314",314,"0400000US10",10,"Delaware",4,7.7,31.1,19.7,7.5,17.8,12.2,88.4,30,23,11.3,7.8,3.4,"DE",2015
"315",315,"0400000US11",11,"District of Columbia",4.3,6.4,18,13.7,3.1,23.3,31.3,89.3,54.6,35,23.9,16.9,5.1,"DC",2015
"316",316,"0400000US12",12,"Florida",5.3,7.8,29.5,20.7,9.4,17.5,9.8,86.9,27.3,28.3,16.1,11.2,5.9,"FL",2015
"317",317,"0400000US13",13,"Georgia",5.4,9.2,28.4,21,7.2,18.1,10.7,85.4,28.8,31.1,17.2,12.1,5,"GA",2015
"318",318,"0400000US15",15,"Hawaii",4.1,4.9,27.9,22,10.3,20.4,10.5,91,30.8,19,12.3,8.6,4.8,"HI",2015
"319",319,"0400000US16",16,"Idaho",4.1,6.4,27.5,26.9,9.2,17.7,8.2,89.5,25.9,23.8,14.1,11,5.5,"ID",2015
"320",320,"0400000US17",17,"Illinois",5.4,6.6,26.8,21.1,7.7,19.9,12.4,87.9,32.3,24.7,13.8,10.2,4.5,"IL",2015
"321",321,"0400000US18",18,"Indiana",4,8.2,34.6,20.9,8.2,15.4,8.7,87.8,24.1,26.7,12.1,10.5,4.1,"IN",2015
"322",322,"0400000US19",19,"Iowa",3.3,5.2,32.2,21.5,11.1,18.2,8.5,91.5,26.7,22.5,10.7,8.7,3.5,"IA",2015
"323",323,"0400000US20",20,"Kansas",3.9,5.9,27,24.2,8,20,11,90.2,31,23.8,12.6,9.4,3.5,"KS",2015
"324",324,"0400000US21",21,"Kentucky",6.7,9.2,33.6,20.8,7.5,13.1,9.2,84.2,22.3,32.7,16.4,12.6,4.4,"KY",2015
"325",325,"0400000US22",22,"Louisiana",5.8,10.8,33.9,21.4,5.5,14.8,7.7,83.4,22.5,31.7,16.9,12.9,4.9,"LA",2015
"326",326,"0400000US23",23,"Maine",3.1,5.3,33.2,19.9,9.5,18.7,10.3,91.6,29,27.3,14.9,10.3,4.5,"ME",2015
"327",327,"0400000US24",24,"Maryland",4.2,6.5,25.5,19.5,6.4,20.6,17.3,89.4,37.9,20.8,10.8,7.6,3.1,"MD",2015
"328",328,"0400000US25",25,"Massachusetts",4.8,5.4,25.4,16.2,7.7,22.8,17.7,89.8,40.5,25.2,12.1,8.9,4.3,"MA",2015
"329",329,"0400000US26",26,"Michigan",3.2,7.2,29.9,23.8,8.9,16.5,10.5,89.6,26.9,29.6,15.2,11.7,4.5,"MI",2015
"330",330,"0400000US27",27,"Minnesota",3.1,4.4,26.1,21.9,10.7,22.5,11.2,92.4,33.7,25.7,11.1,8,3.2,"MN",2015
"331",331,"0400000US28",28,"Mississippi",6.1,11.5,30.3,22.8,8.6,12.9,7.7,82.3,20.7,34,19.7,14.5,5.3,"MS",2015
"332",332,"0400000US29",29,"Missouri",3.7,7.9,31.3,22.6,7.4,16.9,10.2,88.4,27.1,28,13.8,11,4.5,"MO",2015
"333",333,"0400000US30",30,"Montana",2.1,5.1,30.1,24.8,8.4,20,9.5,92.8,29.5,24.7,14.4,11.8,5.1,"MT",2015
"334",334,"0400000US31",31,"Nebraska",4.1,5.2,27.5,23.9,9.9,19.6,9.7,90.7,29.3,24.9,10.9,8.8,3.5,"NE",2015
"335",335,"0400000US32",32,"Nevada",6.2,8.7,28.2,26,7.8,15.2,7.9,85.1,23,23.1,13.8,10.5,6,"NV",2015
"336",336,"0400000US33",33,"New Hampshire",2.5,5.2,28.8,19,9.6,21.8,13,92.3,34.9,18,8.8,7.1,3,"NH",2015
"337",337,"0400000US34",34,"New Jersey",5.3,6.1,28.6,16.9,6.3,22.8,14,88.6,36.8,22.3,11.2,7.9,3.5,"NJ",2015
"338",338,"0400000US35",35,"New Mexico",7,8.8,26.4,23.6,7.8,14.8,11.5,84.2,26.3,34.2,18.9,14.9,6.3,"NM",2015
"339",339,"0400000US36",36,"New York",6.7,7.7,26.7,16.2,8.5,19.4,14.8,85.6,34.2,29.3,15.1,10.8,5.3,"NY",2015
"340",340,"0400000US37",37,"North Carolina",5.4,8.8,26.7,21.8,9,18.4,9.9,85.8,28.4,30.8,15.9,11.8,4.3,"NC",2015
"341",341,"0400000US38",38,"North Dakota",3.9,4.4,27.4,23.4,13.2,20.1,7.6,91.7,27.7,21.9,10.4,7.4,3.3,"ND",2015
"342",342,"0400000US39",39,"Ohio",3.1,7.8,34.1,20.7,8.2,16.4,9.7,89.1,26.1,29,13.4,11.3,4,"OH",2015
"343",343,"0400000US40",40,"Oklahoma",4.4,8.6,31.7,23.9,7.2,16.1,8,86.9,24.1,27.4,15.1,11.3,4.5,"OK",2015
"344",344,"0400000US41",41,"Oregon",4,6.2,24.3,26.3,8.4,19.3,11.5,89.8,30.8,27.2,15.9,12.8,6.2,"OR",2015
"345",345,"0400000US42",42,"Pennsylvania",3.5,7.3,36.4,16.3,7.9,17.4,11.2,89.2,28.6,25.2,12,9.3,4,"PA",2015
"346",346,"0400000US44",44,"Rhode Island",6,7.8,27.3,18.5,8.5,19.1,12.8,86.2,31.9,24.9,13.6,10.2,3.9,"RI",2015
"347",347,"0400000US45",45,"South Carolina",4.9,9.5,29.8,21,8.9,16.5,9.3,85.6,25.8,31.4,16.3,11.1,4.4,"SC",2015
"348",348,"0400000US46",46,"South Dakota",3.9,5.2,31.3,21.9,10.7,19,8,90.9,27,27.3,12.1,9.4,4.3,"SD",2015
"349",349,"0400000US47",47,"Tennessee",5.6,8.9,33,21,6.6,15.9,9,85.5,24.9,30.3,15.9,11.2,4.2,"TN",2015
"350",350,"0400000US48",48,"Texas",9.1,9,25.2,22.5,6.7,18.2,9.4,81.9,27.6,28.9,14.9,9.9,4.3,"TX",2015
"351",351,"0400000US49",49,"Utah",3,5.8,23.2,27.4,9.6,20.8,10.4,91.2,31.1,23.2,11.2,8.5,4.5,"UT",2015
"352",352,"0400000US50",50,"Vermont",2.9,5.3,30.1,17.4,8.4,21.7,14.3,91.8,36,23.8,10.9,9,4.2,"VT",2015
"353",353,"0400000US51",51,"Virginia",4.8,6.9,24.8,19.9,7.3,21,15.4,88.3,36.3,22.6,12,8.1,3.2,"VA",2015
"354",354,"0400000US53",53,"Washington",4,5.5,23.3,24.6,9.8,20.9,12,90.4,32.9,25.1,13.1,10.3,4.4,"WA",2015
"355",355,"0400000US54",54,"West Virginia",5.2,9.8,40.7,18.5,6.6,11.7,7.4,85,19.2,29.4,14.8,12.4,4.5,"WV",2015
"356",356,"0400000US55",55,"Wisconsin",3.1,5.8,32,21.1,10.1,18.4,9.4,91,27.8,24.3,11,8.9,3.6,"WI",2015
"357",357,"0400000US56",56,"Wyoming",2,5.7,29.4,26.9,10.3,17.1,8.6,92.3,25.7,19.9,10.2,7.5,4.2,"WY",2015
"358",358,"0400000US01",1,"Alabama",5,10.2,31,21.9,7.9,15.1,8.9,84.8,24,30.9,16.3,12.2,4.4,"AL",2016
"359",359,"0400000US02",2,"Alaska",2.7,4.9,27.7,27.5,8.3,18.4,10.4,92.3,28.8,19.5,12.1,6.1,2.7,"AK",2016
"360",360,"0400000US04",4,"Arizona",6.1,7.7,24.3,25.5,8.5,17.5,10.4,86.2,28,31,16.8,11.2,5.5,"AZ",2016
"361",361,"0400000US05",5,"Arkansas",5.4,9.4,34.7,22.6,6.4,13.9,7.6,85.2,21.5,28.9,16.4,12.6,4.4,"AR",2016
"362",362,"0400000US06",6,"California",9.9,8,20.6,21.7,7.8,20.1,11.9,82.1,32,25.3,15.5,10.9,5.3,"CA",2016
"363",363,"0400000US08",8,"Colorado",3.7,5.3,21.7,22.2,8.4,24.4,14.3,91,38.7,24.2,12,9.2,4.4,"CO",2016
"364",364,"0400000US09",9,"Connecticut",4.2,5.7,27.3,17.3,7.5,21.3,16.8,90.1,38,24.1,10.9,7.8,3.3,"CT",2016
"365",365,"0400000US10",10,"Delaware",3.8,7.4,31.1,19.5,7.7,18.1,12.4,88.8,30.5,22.5,11.5,8,3.5,"DE",2016
"366",366,"0400000US11",11,"District of Columbia",4,6,18,13.5,3.1,23.4,32,90,55.4,34.8,24.3,17.3,5.5,"DC",2016
"367",367,"0400000US12",12,"Florida",5.2,7.6,29.2,20.6,9.6,17.8,10,87.2,27.9,27.7,15.9,11,6,"FL",2016
"368",368,"0400000US13",13,"Georgia",5.2,8.9,28.1,21,7.4,18.3,11.1,85.8,29.4,30.3,16.9,11.9,4.8,"GA",2016
"369",369,"0400000US15",15,"Hawaii",3.9,4.8,27.8,21.7,10.4,20.7,10.6,91.3,31.4,18.9,12.1,8.5,4.8,"HI",2016
"370",370,"0400000US16",16,"Idaho",3.8,6.2,27.6,26.8,9.3,17.9,8.4,90,26.2,23.4,14.3,11,5.3,"ID",2016
"371",371,"0400000US17",17,"Illinois",5.3,6.4,26.5,21.1,7.8,20.2,12.7,88.3,32.9,24.5,13.7,10.2,4.5,"IL",2016
"372",372,"0400000US18",18,"Indiana",3.9,8,34.2,20.8,8.4,15.7,8.9,88.1,24.6,26.2,12.2,10.3,4.1,"IN",2016
"373",373,"0400000US19",19,"Iowa",3.2,5.1,31.9,21.4,11.3,18.4,8.7,91.7,27.2,22.6,10.8,8.6,3.5,"IA",2016
"374",374,"0400000US20",20,"Kansas",3.8,5.9,26.6,23.9,8.1,20.2,11.4,90.3,31.6,23.8,12.7,9.4,3.5,"KS",2016
"375",375,"0400000US21",21,"Kentucky",6.4,8.9,33.3,20.8,7.8,13.4,9.3,84.6,22.7,32.9,16.6,12.7,4.5,"KY",2016
"376",376,"0400000US22",22,"Louisiana",5.6,10.6,33.9,21.3,5.7,15.1,7.9,83.8,23,32.1,17,12.9,5,"LA",2016
"377",377,"0400000US23",23,"Maine",2.9,5.2,33.2,19.7,9.7,18.9,10.5,91.9,29.3,27.3,14.8,10.1,4.2,"ME",2016
"378",378,"0400000US24",24,"Maryland",4.1,6.3,25.4,19.4,6.4,20.7,17.7,89.6,38.4,20.6,10.9,7.5,3.1,"MD",2016
"379",379,"0400000US25",25,"Massachusetts",4.7,5.3,25.1,16,7.7,23.1,18.2,90.1,41.2,25,12.2,8.9,4.3,"MA",2016
"380",380,"0400000US26",26,"Michigan",3.1,7,29.6,23.8,9.1,16.7,10.7,89.9,27.4,29.6,15.1,11.4,4.5,"MI",2016
"381",381,"0400000US27",27,"Minnesota",3.1,4.3,25.7,21.7,11,22.8,11.5,92.6,34.2,25.2,10.9,7.8,3.1,"MN",2016
"382",382,"0400000US28",28,"Mississippi",5.8,11.2,30.4,22.8,8.7,13.1,7.9,83,21,34,20.1,14.4,5.4,"MS",2016
"383",383,"0400000US29",29,"Missouri",3.6,7.6,31.1,22.5,7.6,17.2,10.4,88.8,27.6,28.2,13.8,10.9,4.3,"MO",2016
"384",384,"0400000US30",30,"Montana",2,5.1,29.8,24.5,8.7,20.2,9.8,92.9,29.9,25.1,14.3,12,5.3,"MT",2016
"385",385,"0400000US31",31,"Nebraska",4.1,5.2,27,23.6,10.1,20.1,9.9,90.7,30,24.8,10.9,8.6,3.5,"NE",2016
"386",386,"0400000US32",32,"Nevada",6.1,8.5,28.3,26,7.9,15.3,7.9,85.4,23.2,22.3,13.7,10.3,5.8,"NV",2016
"387",387,"0400000US33",33,"New Hampshire",2.4,5.1,28.4,19,9.8,22.1,13.4,92.6,35.5,17.7,8.8,6.9,3.2,"NH",2016
"388",388,"0400000US34",34,"New Jersey",5.2,5.9,28.2,16.8,6.4,23.1,14.4,88.9,37.5,22.3,11.5,8,3.6,"NJ",2016
"389",389,"0400000US35",35,"New Mexico",6.8,8.6,26.4,23.5,8.1,15,11.6,84.6,26.7,34.3,18.8,15.1,6.4,"NM",2016
"390",390,"0400000US36",36,"New York",6.5,7.5,26.4,16.1,8.6,19.7,15.1,85.9,34.7,29.4,15.1,10.9,5.2,"NY",2016
"391",391,"0400000US37",37,"North Carolina",5.2,8.5,26.4,21.8,9.1,18.8,10.2,86.3,29,30.2,15.8,11.6,4.3,"NC",2016
"392",392,"0400000US38",38,"North Dakota",3.5,4.4,27.4,23,13.4,20.5,7.7,92,28.2,21.3,11,7.4,3.2,"ND",2016
"393",393,"0400000US39",39,"Ohio",3,7.5,33.8,20.6,8.4,16.7,10,89.5,26.7,28.4,13.4,11.3,3.9,"OH",2016
"394",394,"0400000US40",40,"Oklahoma",4.3,8.5,31.6,23.7,7.4,16.3,8.1,87.3,24.5,26.8,15.1,11.2,4.4,"OK",2016
"395",395,"0400000US41",41,"Oregon",3.9,6.2,23.9,26.2,8.5,19.6,11.9,90,31.4,26.2,15.4,12.6,5.9,"OR",2016
"396",396,"0400000US42",42,"Pennsylvania",3.4,7,36,16.2,8,17.8,11.5,89.5,29.3,25.2,12.1,9.2,4,"PA",2016
"397",397,"0400000US44",44,"Rhode Island",5.8,7.3,27.7,18.3,8.5,19.4,13.1,87,32.5,25,13.5,10,4,"RI",2016
"398",398,"0400000US45",45,"South Carolina",4.7,9.3,29.5,21,9.1,16.9,9.6,86,26.5,30.4,15.8,10.9,4.2,"SC",2016
"399",399,"0400000US46",46,"South Dakota",3.6,5.2,30.8,21.9,11,19.4,8.1,91.2,27.5,28.2,12.5,9.3,4.1,"SD",2016
"400",400,"0400000US47",47,"Tennessee",5.4,8.6,32.8,21,6.8,16.1,9.3,86,25.4,29.8,15.8,10.9,4.4,"TN",2016
"401",401,"0400000US48",48,"Texas",8.9,8.8,25.1,22.4,6.8,18.5,9.6,82.3,28.1,27.8,14.7,9.8,4.3,"TX",2016
"402",402,"0400000US49",49,"Utah",2.9,5.6,23,27.1,9.8,21,10.7,91.5,31.7,21.7,10.8,8,4.4,"UT",2016
"403",403,"0400000US50",50,"Vermont",2.8,5.3,29.9,17.3,8.6,21.7,14.5,91.9,36.2,23.7,11.1,9.2,4.2,"VT",2016
"404",404,"0400000US51",51,"Virginia",4.6,6.7,24.5,19.9,7.4,21.2,15.7,88.6,36.9,22.4,12.1,8.2,3.3,"VA",2016
"405",405,"0400000US53",53,"Washington",3.9,5.5,22.9,24.3,9.8,21.3,12.3,90.6,33.6,23.8,13,10.1,4.4,"WA",2016
"406",406,"0400000US54",54,"West Virginia",4.9,9.7,40.5,18.5,6.8,11.9,7.7,85.3,19.6,29.2,14.9,12.3,4.5,"WV",2016
"407",407,"0400000US55",55,"Wisconsin",3,5.7,31.7,21,10.3,18.7,9.6,91.4,28.4,24.2,11,8.9,3.6,"WI",2016
"408",408,"0400000US56",56,"Wyoming",1.9,5.7,29.2,26.5,10.7,17.2,8.8,92.4,26,19.8,10.7,8.1,4,"WY",2016
"409",409,"0400000US01",1,"Alabama",4.7,10,30.9,21.7,8.2,15.4,9.1,85.3,24.5,30.4,16.4,11.8,4.4,"AL",2017
"410",410,"0400000US02",2,"Alaska",2.7,4.9,27.6,27.3,8.5,18.6,10.4,92.4,29,20.3,12.7,6.3,2.7,"AK",2017
"411",411,"0400000US04",4,"Arizona",5.9,7.6,24.2,25.3,8.6,17.8,10.7,86.5,28.4,29.7,16.5,11,5.4,"AZ",2017
"412",412,"0400000US05",5,"Arkansas",5.2,9.2,34.3,22.6,6.7,14.1,7.9,85.6,22,28.2,16.1,12.3,4.5,"AR",2017
"413",413,"0400000US06",6,"California",9.7,7.8,20.6,21.5,7.8,20.4,12.2,82.5,32.6,24.4,15,10.5,5.2,"CA",2017
"414",414,"0400000US08",8,"Colorado",3.6,5.2,21.6,21.8,8.4,24.8,14.6,91.1,39.4,22.8,11.7,9,4.3,"CO",2017
"415",415,"0400000US09",9,"Connecticut",4.2,5.6,27.2,17,7.6,21.5,17,90.2,38.4,24.1,10.7,7.5,3.4,"CT",2017
"416",416,"0400000US10",10,"Delaware",3.6,7.1,31.2,19.3,7.8,18,12.9,89.3,31,21.8,12.9,8.1,3.4,"DE",2017
"417",417,"0400000US11",11,"District of Columbia",4,5.8,17.6,13,3.1,23.8,32.8,90.3,56.6,33.3,25.2,16.9,5.6,"DC",2017
"418",418,"0400000US12",12,"Florida",5.1,7.3,29,20.4,9.8,18.2,10.3,87.6,28.5,26.9,15.6,10.7,6,"FL",2017
"419",419,"0400000US13",13,"Georgia",5,8.7,28,20.8,7.5,18.6,11.4,86.3,29.9,29.4,16.4,11.4,4.6,"GA",2017
"420",420,"0400000US15",15,"Hawaii",3.8,4.6,27.8,21.4,10.5,21.2,10.8,91.6,32,18.8,12,8.3,4.7,"HI",2017
"421",421,"0400000US16",16,"Idaho",3.7,6.1,27.4,26.6,9.5,18.2,8.5,90.2,26.8,22.2,14,10.5,5.2,"ID",2017
"422",422,"0400000US17",17,"Illinois",5.2,6.3,26.3,20.9,7.9,20.5,13,88.6,33.4,23.4,13.7,10,4.4,"IL",2017
"423",423,"0400000US18",18,"Indiana",3.8,7.9,33.8,20.7,8.5,16.1,9.2,88.3,25.3,25.3,12.2,10.1,4.1,"IN",2017
"424",424,"0400000US19",19,"Iowa",3.2,5,31.5,21.3,11.3,18.7,9,91.8,27.7,22.4,10.7,8.3,3.6,"IA",2017
"425",425,"0400000US20",20,"Kansas",3.7,5.8,26.2,23.6,8.3,20.6,11.7,90.5,32.3,22.8,12.4,9.3,3.5,"KS",2017
"426",426,"0400000US21",21,"Kentucky",6.1,8.7,33.1,20.9,8,13.6,9.6,85.2,23.2,33.1,16.5,12.5,4.5,"KY",2017
"427",427,"0400000US22",22,"Louisiana",5.4,10.3,33.8,21.3,5.8,15.3,8.1,84.3,23.4,32.3,17.2,12.8,5,"LA",2017
"428",428,"0400000US23",23,"Maine",2.8,5.1,32.3,19.5,10,19.3,10.9,92.1,30.3,27.1,14.6,9.6,4.2,"ME",2017
"429",429,"0400000US24",24,"Maryland",4.1,6.1,25.1,19.2,6.5,21,18,89.8,39,20.4,11,7.3,3.2,"MD",2017
"430",430,"0400000US25",25,"Massachusetts",4.6,5.1,24.7,15.8,7.7,23.4,18.7,90.3,42.1,24.9,12,8.7,4.2,"MA",2017
"431",431,"0400000US26",26,"Michigan",3,6.7,29.3,23.6,9.3,17.1,11,90.2,28.1,28.9,14.8,11,4.5,"MI",2017
"432",432,"0400000US27",27,"Minnesota",3,4.2,25.4,21.5,11.1,23,11.8,92.8,34.8,24.6,10.7,7.6,3.1,"MN",2017
"433",433,"0400000US28",28,"Mississippi",5.6,11,30.4,22.6,9.1,13.3,8,83.4,21.3,33,19.6,14.1,5.4,"MS",2017
"434",434,"0400000US29",29,"Missouri",3.4,7.4,30.9,22.4,7.7,17.5,10.7,89.2,28.2,27.6,13.4,10.5,4.2,"MO",2017
"435",435,"0400000US30",30,"Montana",2.1,5,29.3,24.2,8.8,20.6,10.1,93,30.7,23.7,14.1,11.3,5.2,"MT",2017
"436",436,"0400000US31",31,"Nebraska",4.1,5,26.7,23.4,10.2,20.4,10.2,90.9,30.6,23.5,10.8,8.4,3.3,"NE",2017
"437",437,"0400000US32",32,"Nevada",5.9,8.3,28.3,25.8,8.1,15.6,8.1,85.8,23.7,21.4,13.4,9.9,5.8,"NV",2017
"438",438,"0400000US33",33,"New Hampshire",2.2,4.9,28,18.8,10,22.3,13.8,92.8,36,17.5,8.6,6.5,3.1,"NH",2017
"439",439,"0400000US34",34,"New Jersey",5.1,5.7,27.9,16.6,6.5,23.4,14.7,89.2,38.1,22.4,11.5,8,3.5,"NJ",2017
"440",440,"0400000US35",35,"New Mexico",6.5,8.5,26.4,23.5,8.2,15.1,11.8,85,26.9,34,18.9,14.8,6.6,"NM",2017
"441",441,"0400000US36",36,"New York",6.5,7.4,26.3,15.9,8.7,19.9,15.4,86.1,35.3,29,15,10.7,5.2,"NY",2017
"442",442,"0400000US37",37,"North Carolina",4.9,8.2,26.1,21.7,9.3,19.2,10.6,86.9,29.9,29.8,15.4,11.2,4.2,"NC",2017
"443",443,"0400000US38",38,"North Dakota",3.3,4.4,27.1,22.7,13.5,21.1,7.8,92.3,28.9,21.1,10.9,7.5,3.3,"ND",2017
"444",444,"0400000US39",39,"Ohio",2.9,7.3,33.6,20.5,8.5,17,10.2,89.8,27.2,28.2,13.4,11,3.9,"OH",2017
"445",445,"0400000US40",40,"Oklahoma",4.2,8.3,31.5,23.6,7.6,16.6,8.3,87.5,24.8,26.6,15.2,11.1,4.3,"OK",2017
"446",446,"0400000US41",41,"Oregon",3.8,6,23.4,25.8,8.7,20.1,12.2,90.2,32.3,25.1,15.1,11.8,5.8,"OR",2017
"447",447,"0400000US42",42,"Pennsylvania",3.3,6.8,35.6,16.1,8.2,18.3,11.8,89.9,30.1,25.3,12.4,9.2,4,"PA",2017
"448",448,"0400000US44",44,"Rhode Island",5.5,7.2,27.9,18.1,8.3,19.8,13.1,87.3,33,25.1,12.8,9.8,4.1,"RI",2017
"449",449,"0400000US45",45,"South Carolina",4.5,9,29.4,20.8,9.3,17.2,9.8,86.5,27,30,15.5,10.6,4.3,"SC",2017
"450",450,"0400000US46",46,"South Dakota",3.4,5.2,30.5,21.8,11.3,19.5,8.3,91.4,27.8,28.9,12.3,9.6,4.1,"SD",2017
"451",451,"0400000US47",47,"Tennessee",5.1,8.4,32.6,20.9,7,16.5,9.6,86.5,26.1,29.5,15.7,10.5,4.3,"TN",2017
"452",452,"0400000US48",48,"Texas",8.7,8.5,25.1,22.1,6.9,18.8,9.9,82.8,28.7,26.7,14.4,9.6,4.2,"TX",2017
"453",453,"0400000US49",49,"Utah",2.9,5.4,22.8,26.8,9.7,21.5,11,91.8,32.5,19.9,10.5,7.6,4.4,"UT",2017
"454",454,"0400000US50",50,"Vermont",2.6,5.2,29.6,17.4,8.5,21.8,15,92.3,36.8,22.8,11.4,9,4.5,"VT",2017
"455",455,"0400000US51",51,"Virginia",4.5,6.5,24.3,19.7,7.5,21.5,16.1,89,37.6,21.9,11.9,8.2,3.3,"VA",2017
"456",456,"0400000US53",53,"Washington",3.8,5.3,22.5,24,9.9,21.7,12.7,90.8,34.5,23,12.7,9.9,4.3,"WA",2017
"457",457,"0400000US54",54,"West Virginia",4.7,9.4,40.6,18.5,6.9,12,7.9,85.9,19.9,29.2,15.3,12.4,4.6,"WV",2017
"458",458,"0400000US55",55,"Wisconsin",2.8,5.5,31.3,20.9,10.5,19.2,9.9,91.7,29,23.9,10.9,8.6,3.7,"WI",2017
"459",459,"0400000US56",56,"Wyoming",1.8,5.4,28.7,26.4,10.9,17.4,9.3,92.8,26.7,20.7,10.7,7.9,3.9,"WY",2017
