"","X","geo_id1","geo_id2","state","less_than_9th","X9th_to_12th","hs_grad","some_col","associates","bachelors","graduate","at_least_hs_grad","at_least_bachelors","poverty_less_than_hs_grad","poverty_hs_grad","poverty_some_college_assoc","poverty_at_least_bachelors","Abbreviation","year","x.rfbmi5","se"
"115",115,"0400000US16",16,"Idaho",4.4,7.2,28.4,26.9,8.6,16.9,7.6,88.5,24.6,22.5,12.2,9.4,4.8,"ID",2011,0.622797571896293,0.0102725916110854
"116",116,"0400000US17",17,"Illinois",5.8,7.5,27.6,21.1,7.3,19.1,11.6,86.6,30.7,22.9,11.7,8.7,3.8,"IL",2011,0.640628700303811,0.00983160575626181
"117",117,"0400000US18",18,"Indiana",4.2,9.1,35.8,20.6,7.5,14.6,8.1,86.6,22.7,23.8,10.8,8.7,3.4,"IN",2011,0.656338465515079,0.00752372160890338
"118",118,"0400000US19",19,"Iowa",3.9,5.8,33.8,21.7,10,17.2,7.7,90.3,24.9,21.1,9.2,7.8,3,"IA",2011,0.647591654432226,0.00750485325977445
"119",119,"0400000US20",20,"Kansas",4.2,6.3,28.4,24,7.4,19.5,10.2,89.5,29.7,23.6,11,8,3.3,"KS",2011,0.643948817565663,0.0046936509112034
"120",120,"0400000US21",21,"Kentucky",7.9,10.4,34.3,20.1,6.7,12.3,8.4,81.7,20.6,31.4,14.3,10.8,3.7,"KY",2011,0.66474567415157,0.0078130182183767
"121",121,"0400000US22",22,"Louisiana",6.7,11.7,34.6,21,4.9,14.2,7,81.6,21.1,29,14.7,10.5,4.3,"LA",2011,0.675771288236081,0.00756090296331617
"122",122,"0400000US23",23,"Maine",3.6,6.1,34.5,19.7,9,17.4,9.7,90.2,27.1,25.5,12.4,8.6,3.9,"ME",2011,0.650464718918085,0.00585283434793747
"123",123,"0400000US24",24,"Maryland",4.5,7.4,26.2,19.6,6.3,19.9,16.1,88.2,36.1,19.1,9.2,6,2.7,"MD",2011,0.643924078309646,0.00779976424568856
"124",124,"0400000US25",25,"Massachusetts",4.9,6.2,26.3,16.2,7.6,22.1,16.6,88.9,38.7,23.8,10.4,7.7,3.7,"MA",2011,0.59319720438261,0.00586512339674251
"125",125,"0400000US26",26,"Michigan",3.5,8.1,31.1,23.8,8.2,15.6,9.7,88.4,25.3,26.9,13.7,10.5,3.9,"MI",2011,0.654360320508622,0.00717852468107594
"126",126,"0400000US27",27,"Minnesota",3.5,5,27.5,22.5,9.8,21.5,10.3,91.6,31.8,24.8,10.2,7.2,2.9,"MN",2011,0.624435801061733,0.0061166325517295
"127",127,"0400000US28",28,"Mississippi",6.9,12.8,30.6,22.3,7.8,12.6,7,80.3,19.7,32.7,17.6,12.6,4.7,"MS",2011,0.689045005516595,0.00730689446567454
"128",128,"0400000US29",29,"Missouri",4.4,8.8,32.1,22.5,6.7,16,9.4,86.8,25.4,25.3,12,9.2,3.8,"MO",2011,0.648261605664525,0.00905837903220114
"129",129,"0400000US30",30,"Montana",2.6,5.9,30.8,24.5,8,19.4,8.8,91.4,28.2,24,12.7,10.4,4.9,"MT",2011,0.602514932164089,0.00758199690693675
"130",130,"0400000US31",31,"Nebraska",4,5.7,29.2,24.1,9.2,18.9,8.9,90.3,27.8,21.7,10,8,3.1,"NE",2011,0.648782322929096,0.00462942328602314
"131",131,"0400000US32",32,"Nevada",6.4,9.4,29.2,25.6,7.2,14.7,7.5,84.2,22.2,19.7,10.6,8.4,4.7,"NV",2011,0.601551546778058,0.0121005804301909
"132",132,"0400000US33",33,"New Hampshire",2.9,5.9,29.5,19.1,9.5,21,12.1,91.2,33.1,16.5,8,6.1,2.5,"NH",2011,0.616448596065823,0.00887552844800694
"133",133,"0400000US34",34,"New Jersey",5.5,6.8,29.6,16.9,6.2,21.8,13.1,87.6,35,19.6,9.2,6.3,2.9,"NJ",2011,0.614668039264406,0.00639996670961283
"134",134,"0400000US35",35,"New Mexico",7.7,9.3,26.7,23.6,7.3,14.7,10.8,83.1,25.4,31.7,16.3,11.8,5.2,"NM",2011,0.621762364668483,0.00711960010547927
"135",135,"0400000US36",36,"New York",7,8.4,27.8,16.1,8.2,18.5,14,84.6,32.5,27,13.2,9.3,4.7,"NY",2011,0.603163579580273,0.00810032029463533
"136",136,"0400000US37",37,"North Carolina",6,9.9,27.7,21.4,8.5,17.7,8.9,84.1,26.5,28.3,13.9,10,3.6,"NC",2011,0.651209281305998,0.00754555254988406
"137",137,"0400000US38",38,"North Dakota",5.2,4.8,27.4,23.7,12.3,19.6,6.9,90,26.5,22,10.4,7.6,3.4,"ND",2011,0.638004044683359,0.00940101592563992
"138",138,"0400000US39",39,"Ohio",3.4,8.8,35.4,20.5,7.5,15.5,9,87.8,24.5,25.9,11.9,9.9,3.7,"OH",2011,0.658637313156467,0.00718554499990523
"139",139,"0400000US40",40,"Oklahoma",4.7,9.4,32.1,24,6.8,15.5,7.6,85.9,23,26.2,14.2,10.2,3.9,"OK",2011,0.654235910750497,0.00770085857328519
"140",140,"0400000US41",41,"Oregon",4.2,7,25.2,26.6,8.1,18.4,10.6,88.9,29,24.3,13.5,10.8,5.3,"OR",2011,0.614868791468494,0.00870253678524387
"141",141,"0400000US42",42,"Pennsylvania",3.9,8.2,37.6,16.3,7.4,16.5,10.2,87.9,26.7,23.1,10.7,8,3.4,"PA",2011,0.645312801102796,0.00681343213804476
"142",142,"0400000US44",44,"Rhode Island",6.8,9,27.7,18.1,7.9,18.6,12,84.3,30.6,22.9,11.2,7.5,3.7,"RI",2011,0.624468991878186,0.00886001203255854
"143",143,"0400000US45",45,"South Carolina",5.8,10.6,30.9,20.1,8.4,15.6,8.6,83.6,24.2,29.9,14.9,9.6,3.6,"SC",2011,0.658540806580745,0.00695885963426159
"144",144,"0400000US46",46,"South Dakota",4.6,5.6,32.1,22.1,9.7,18.2,7.6,89.8,25.8,26.4,11,8.7,4.2,"SD",2011,0.644449007332533,0.0108929494508937
"145",145,"0400000US47",47,"Tennessee",6.5,10.3,33.3,20.8,6,14.9,8.1,83.2,23,28.9,14.5,9.7,3.7,"TN",2011,0.66487394755847,0.0138982109977761
"146",146,"0400000US48",48,"Texas",9.8,9.8,25.7,22.3,6.4,17.4,8.6,80.4,26.1,28.2,14,8.9,3.8,"TX",2011,0.658491685322978,0.00740319941830481
"147",147,"0400000US49",49,"Utah",3.1,6.3,24.4,27.4,9.2,20.1,9.5,90.6,29.6,21.2,10.1,7.6,3.9,"UT",2011,0.588852690536743,0.00638636014283834
"148",148,"0400000US50",50,"Vermont",3.1,5.9,31.7,17.1,8.4,20.5,13.3,91,33.8,22.2,10.2,8.4,4,"VT",2011,0.597505658652002,0.00820034205350774
"149",149,"0400000US51",51,"Virginia",5.4,8,25.6,19.9,6.7,20.2,14.2,86.6,34.4,21.8,10.1,6.6,2.6,"VA",2011,0.633305231687604,0.00940358195539416
"150",150,"0400000US53",53,"Washington",4.1,6.2,23.9,25.1,9.4,20.1,11.3,89.8,31.4,24.8,11.4,8.8,3.9,"WA",2011,0.609876214649504,0.00708568139726777
"151",151,"0400000US54",54,"West Virginia",6.5,10.9,41,18,6,10.9,6.8,82.6,17.6,28.9,13.8,10.5,4,"WV",2011,0.689198640083479,0.00848354353839886
"152",152,"0400000US55",55,"Wisconsin",3.6,6.6,33.6,21,9.1,17.3,8.8,89.8,26,22,9.6,7.5,3.2,"WI",2011,0.639921392414466,0.0107587561371519
"153",153,"0400000US56",56,"Wyoming",2.5,5.6,30.5,27.2,10,16,8.2,91.9,24.2,18.5,8.7,6.5,3.2,"WY",2011,0.612554539639254,0.00896982054568722
"154",154,"0400000US01",1,"Alabama",5.9,11.5,31.3,21.8,7.2,14.2,8.1,82.6,22.3,29.5,15,11.1,3.8,"AL",2012,NA,NA
"155",155,"0400000US02",2,"Alaska",3.1,5.3,27.1,29.1,7.9,17.8,9.7,91.6,27.5,17.1,10.3,6.3,2.7,"AK",2012,NA,NA
"156",156,"0400000US04",4,"Arizona",6.5,8.1,24.4,26.2,8.2,16.9,9.7,85.4,26.6,30.1,15.2,10.3,4.8,"AZ",2012,NA,NA
"157",157,"0400000US05",5,"Arkansas",6.3,10.4,35.1,22.3,6.1,13.1,6.7,83.3,19.8,27.7,15.5,12.2,3.9,"AR",2012,NA,NA
"158",158,"0400000US06",6,"California",10.3,8.7,20.7,22.2,7.7,19.4,11.1,81,30.5,24.5,14.2,9.7,4.8,"CA",2012,NA,NA
"159",159,"0400000US08",8,"Colorado",4.2,5.8,22.4,22.8,8.1,23.4,13.2,89.9,36.7,26,12.1,8.9,4.2,"CO",2012,NA,NA
"160",160,"0400000US09",9,"Connecticut",4.5,6.5,27.9,17.6,7.3,20.3,15.8,89,36.2,22.6,9.8,6.9,3,"CT",2012,NA,NA
"161",161,"0400000US10",10,"Delaware",4.1,8.2,31.6,20.3,7.2,17.1,11.4,87.7,28.5,22.1,9.7,6.5,3.2,"DE",2012,0.659971309336792,0.00931223266555842
"162",162,"0400000US11",11,"District of Columbia",4.8,7.7,19.1,14.3,2.9,22.5,28.7,87.5,51.2,32.9,23.2,15.5,4.9,"DC",2012,0.518620220768197,0.0137628313865621
"163",163,"0400000US12",12,"Florida",5.6,8.6,29.8,21.1,8.7,16.8,9.4,85.8,26.2,26.9,14.6,10.1,5.3,"FL",2012,0.620975620076159,0.00900724564598999
"164",164,"0400000US13",13,"Georgia",5.8,9.8,28.9,21,6.8,17.7,10.1,84.4,27.8,30.5,15.7,10.5,4.5,"GA",2012,0.64621717785782,0.00906427002910803
"165",165,"0400000US15",15,"Hawaii",4.6,5.2,28.4,22.5,9.8,19.6,10,90.3,29.6,18.1,10.7,8.1,4.6,"HI",2012,0.56026188679687,0.00886758865703719
"166",166,"0400000US16",16,"Idaho",4.5,6.9,28,27.3,8.7,17,7.8,88.6,24.7,24.1,12.9,10.1,5.2,"ID",2012,0.625161164396889,0.0116723801056155
"167",167,"0400000US17",17,"Illinois",5.8,7.3,27.2,21.3,7.4,19.3,11.8,87,31.1,24,12.2,9.2,4.1,"IL",2012,0.639752185032072,0.00959190864764091
"168",168,"0400000US18",18,"Indiana",4.2,8.8,35.4,20.9,7.7,14.7,8.2,87,23,25.2,11.4,9.3,3.6,"IN",2012,0.655316592286996,0.00713712878598411
"169",169,"0400000US19",19,"Iowa",3.7,5.6,33.1,21.9,10.3,17.5,7.8,90.7,25.3,21.6,9.6,8.3,3.2,"IA",2012,0.647232709123084,0.00763912405082529
"170",170,"0400000US20",20,"Kansas",4.1,6.2,27.8,24.4,7.5,19.6,10.4,89.7,30,24.1,11.7,8.5,3.4,"KS",2012,0.655884078762251,0.00611603159004196
"171",171,"0400000US21",21,"Kentucky",7.5,10.1,34,20.5,6.9,12.5,8.5,82.4,21,32.2,14.9,11.6,4,"KY",2012,0.668984921884905,0.00729844961839228
"172",172,"0400000US22",22,"Louisiana",6.4,11.4,34.3,21.4,5.1,14.3,7.1,82.2,21.4,29.6,15,11.3,4.4,"LA",2012,0.695678486007498,0.00827849891313007
"173",173,"0400000US23",23,"Maine",3.5,5.9,34.2,20.1,9,17.6,9.8,90.6,27.3,26,13,9.2,4,"ME",2012,0.641804604995586,0.00627832804713181
"174",174,"0400000US24",24,"Maryland",4.5,7,26,19.9,6.2,20,16.4,88.5,36.3,19.9,9.7,6.6,2.8,"MD",2012,0.638273967553624,0.00775935044282121
"175",175,"0400000US25",25,"Massachusetts",4.9,6,25.9,16.6,7.7,22.2,16.8,89.1,39,24.3,11,8.1,3.9,"MA",2012,0.587599420045532,0.0054885261989639
"176",176,"0400000US26",26,"Michigan",3.5,7.9,30.7,24,8.4,15.7,9.8,88.7,25.5,28.1,14.5,11.1,4.1,"MI",2012,0.656094777498715,0.00666006032880815
"177",177,"0400000US27",27,"Minnesota",3.3,4.8,27.1,22.5,10,21.8,10.5,91.9,32.2,25.6,10.5,7.6,3,"MN",2012,0.630349071594884,0.00615348752074359
"178",178,"0400000US28",28,"Mississippi",6.6,12.3,30.4,22.6,8,12.8,7.2,81,20,33.8,18.5,13.3,4.8,"MS",2012,0.688939115661757,0.00814602314107865
"179",179,"0400000US29",29,"Missouri",4.2,8.6,31.7,22.8,6.9,16.2,9.6,87.2,25.8,26.3,12.7,9.9,4.1,"MO",2012,0.657276447330884,0.00886498717774339
"180",180,"0400000US30",30,"Montana",2.4,5.7,30.2,25.1,8.1,19.7,8.8,91.9,28.5,23.8,12.9,11.2,5,"MT",2012,0.613274760358967,0.00710476852663118
"181",181,"0400000US31",31,"Nebraska",4.1,5.5,28.7,24.3,9.4,19,9.1,90.4,28.1,23.1,10.3,8.4,3.3,"NE",2012,0.650113795868529,0.00514999648970905
"182",182,"0400000US32",32,"Nevada",6.3,9.3,28.7,26.1,7.3,14.8,7.4,84.4,22.2,21.9,12,9.3,5.2,"NV",2012,0.625253120209056,0.0105725647208568
"183",183,"0400000US33",33,"New Hampshire",2.8,5.8,29.3,19.1,9.6,21.2,12.3,91.4,33.4,16.8,8.5,6.7,2.7,"NH",2012,0.621375602190589,0.00852457408159945
"184",184,"0400000US34",34,"New Jersey",5.5,6.6,29.2,17.1,6.2,22,13.4,87.9,35.4,20.5,9.7,6.8,3.1,"NJ",2012,0.615546782313638,0.00609794900217494
"185",185,"0400000US35",35,"New Mexico",7.4,9.2,26.4,23.9,7.5,14.6,11,83.4,25.6,32.1,17.2,12.8,5.3,"NM",2012,0.628308024486397,0.00682712213345542
"186",186,"0400000US36",36,"New York",6.9,8.2,27.3,16.5,8.3,18.6,14.1,84.9,32.8,27.7,13.7,9.7,4.9,"NY",2012,0.605694872575025,0.00915528742005443
"187",187,"0400000US37",37,"North Carolina",5.9,9.6,27.2,21.8,8.6,17.8,9,84.5,26.8,29.8,14.5,10.7,3.8,"NC",2012,0.658271530587128,0.00606440370017874
"188",188,"0400000US38",38,"North Dakota",4.8,4.7,27.2,23.9,12.3,19.6,7.4,90.5,27.1,22.3,10.5,7.6,3.4,"ND",2012,0.662232934416302,0.00958919727564751
"189",189,"0400000US39",39,"Ohio",3.3,8.5,34.9,20.9,7.7,15.6,9.1,88.2,24.7,27.1,12.5,10.5,3.8,"OH",2012,0.653337607624914,0.00609975782371722
"190",190,"0400000US40",40,"Oklahoma",4.7,9.1,31.7,24.3,6.9,15.6,7.7,86.2,23.2,26.4,14.6,10.7,4.1,"OK",2012,0.678139002306713,0.00714689803589321
"191",191,"0400000US41",41,"Oregon",4.1,6.8,24.8,27,8.1,18.5,10.8,89.2,29.2,26,14.1,11.7,5.5,"OR",2012,0.611751418671249,0.00926945735739348
"192",192,"0400000US42",42,"Pennsylvania",3.8,7.9,37.2,16.5,7.5,16.6,10.4,88.3,27,23.9,11.1,8.5,3.6,"PA",2012,0.649335744352298,0.00544902763865622
"193",193,"0400000US44",44,"Rhode Island",6.7,8.6,27.5,18.4,8.1,18.6,12.2,84.8,30.8,23.2,12,8.3,3.8,"RI",2012,0.62907766250159,0.00969574599430119
"194",194,"0400000US45",45,"South Carolina",5.6,10.3,30.3,20.6,8.6,15.8,8.7,84,24.6,30.4,15.6,10.3,3.7,"SC",2012,0.661188430667063,0.00655354702394597
"195",195,"0400000US46",46,"South Dakota",4.5,5.4,31.9,22.3,9.9,18.3,7.8,90.1,26,25.9,11.4,8.9,4.1,"SD",2012,0.660627769280008,0.00878004742895217
"196",196,"0400000US47",47,"Tennessee",6.3,9.9,33,21.2,6.2,15.2,8.3,83.9,23.5,29.4,15,10.4,3.9,"TN",2012,0.653859107978327,0.00859794549780148
"197",197,"0400000US48",48,"Texas",9.7,9.6,25.3,22.8,6.4,17.5,8.7,80.8,26.3,28.8,14.3,9.3,4,"TX",2012,0.650637198109597,0.00750151255288658
"198",198,"0400000US49",49,"Utah",3.1,6.2,23.9,27.6,9.3,20.1,9.7,90.6,29.9,23.2,10.8,8.2,4.2,"UT",2012,0.577896837150452,0.00630627512565038
"199",199,"0400000US50",50,"Vermont",3,5.7,31.2,17.2,8.6,20.7,13.5,91.3,34.2,23.4,10.3,8.5,4,"VT",2012,0.603118090041333,0.0085987414096508
"200",200,"0400000US51",51,"Virginia",5.3,7.8,25.2,20.2,6.9,20.3,14.4,86.9,34.7,22.4,10.7,7.1,2.8,"VA",2012,0.636125129357296,0.00779711949595805
"201",201,"0400000US53",53,"Washington",4.1,5.9,23.6,25.3,9.5,20.2,11.4,90,31.6,25.6,11.9,9.2,4.1,"WA",2012,0.622499031634509,0.00567630934016267
"202",202,"0400000US54",54,"West Virginia",6.2,10.4,40.9,18.5,6.1,11,6.9,83.4,17.9,29.4,14.1,10.8,4.1,"WV",2012,0.683055708961189,0.00791295855892132
"203",203,"0400000US55",55,"Wisconsin",3.5,6.4,33.1,21.3,9.4,17.5,8.9,90.2,26.4,23.1,10.1,8.1,3.2,"WI",2012,0.664314900251754,0.0100832772275327
"204",204,"0400000US56",56,"Wyoming",2.3,5.6,30.5,27.3,10,16.2,8.1,92.1,24.3,18.7,9.4,7.3,3.6,"WY",2012,0.633415448529787,0.0105214020588134
"205",205,"0400000US01",1,"Alabama",5.7,11.2,31.1,22,7.4,14.4,8.3,83.1,22.6,30.1,15.5,11.8,4.1,"AL",2013,NA,NA
"206",206,"0400000US02",2,"Alaska",3,5.3,27.3,28.8,8,17.7,9.8,91.6,27.5,17.6,10.9,6.5,2.7,"AK",2013,NA,NA
"207",207,"0400000US04",4,"Arizona",6.4,7.9,24.5,26,8.3,17,9.9,85.7,26.9,31.1,16.1,10.9,5.1,"AZ",2013,NA,NA
"208",208,"0400000US05",5,"Arkansas",6.1,10.2,35.1,22.4,6.1,13.3,6.8,83.7,20.1,28.4,15.9,12.5,4.3,"AR",2013,NA,NA
"209",209,"0400000US06",6,"California",10.2,8.5,20.7,22.1,7.8,19.4,11.2,81.2,30.7,25.4,15,10.4,5.1,"CA",2013,NA,NA
"210",210,"0400000US08",8,"Colorado",4.1,5.7,22.1,22.8,8.2,23.6,13.4,90.2,37,26.2,12.7,9.2,4.4,"CO",2013,NA,NA
"211",211,"0400000US09",9,"Connecticut",4.5,6.4,27.8,17.7,7.3,20.4,16.1,89.2,36.5,22.9,10.3,7.4,3.1,"CT",2013,NA,NA
"212",212,"0400000US10",10,"Delaware",4.2,8.1,31.7,19.9,7.3,17.2,11.7,87.7,28.9,22.6,10.1,7.2,3.2,"DE",2013,0.64568671734255,0.00970824086385386
"213",213,"0400000US11",11,"District of Columbia",4.4,7.2,18.8,14.2,3,22.7,29.7,88.4,52.4,33.6,24.5,16.1,5.3,"DC",2013,0.537634112897372,0.0121675138099031
"214",214,"0400000US12",12,"Florida",5.6,8.3,29.8,21,8.9,16.9,9.5,86.1,26.4,27.9,15.5,10.8,5.6,"FL",2013,0.627720951858025,0.00609641877741672
"215",215,"0400000US13",13,"Georgia",5.8,9.5,28.7,21.1,6.9,17.7,10.2,84.7,28,31.4,16.7,11.4,4.8,"GA",2013,0.656939756619402,0.00767823566261086
"216",216,"0400000US15",15,"Hawaii",4.4,5.2,28.1,22.3,9.9,19.9,10.2,90.4,30.1,18.6,11.4,8.5,4.6,"HI",2013,0.553539268835755,0.00839465089480346
"217",217,"0400000US16",16,"Idaho",4.4,6.8,27.8,27.1,8.8,17.2,7.8,88.8,25.1,24.5,13.2,10.8,5.6,"ID",2013,0.649408912742783,0.00966153292389913
"218",218,"0400000US17",17,"Illinois",5.6,7.1,27.1,21.3,7.4,19.5,12,87.3,31.4,24.5,13,9.8,4.3,"IL",2013,0.647199430935009,0.00931067289532564
"219",219,"0400000US18",18,"Indiana",4.2,8.6,35.2,20.9,7.9,14.8,8.4,87.2,23.2,26.2,11.9,10.1,3.8,"IN",2013,0.672636465608738,0.0065064114331507
"220",220,"0400000US19",19,"Iowa",3.6,5.5,32.9,21.7,10.6,17.7,8,91,25.7,22.1,10.1,8.5,3.3,"IA",2013,0.670080766193099,0.00739009324471758
"221",221,"0400000US20",20,"Kansas",4.1,6.1,27.5,24.5,7.6,19.6,10.6,89.8,30.3,24.7,12.3,9,3.5,"KS",2013,0.653054378971982,0.00410554047714379
"222",222,"0400000US21",21,"Kentucky",7.2,9.8,33.9,20.5,7.1,12.8,8.8,83,21.5,32.1,15.4,12.3,4.3,"KY",2013,0.672783699137029,0.00729848974709188
"223",223,"0400000US22",22,"Louisiana",6.2,11.2,34.1,21.5,5.2,14.6,7.3,82.6,21.8,29.9,15.5,12.2,4.8,"LA",2013,0.673684958019006,0.0110389809256452
"224",224,"0400000US23",23,"Maine",3.3,5.6,33.9,20.1,9.2,17.9,10,91.1,27.9,25.9,13.8,9.8,4.2,"ME",2013,0.648371541315733,0.0073128174621217
"225",225,"0400000US24",24,"Maryland",4.4,6.9,25.9,19.7,6.3,20.1,16.7,88.7,36.8,20.5,10.3,7.1,2.9,"MD",2013,0.641467088060576,0.00704064276488748
"226",226,"0400000US25",25,"Massachusetts",4.8,5.8,25.8,16.5,7.7,22.3,17.1,89.4,39.4,24.6,11.4,8.4,4,"MA",2013,0.580045318289921,0.0067239986680337
"227",227,"0400000US26",26,"Michigan",3.4,7.7,30.4,24,8.6,15.9,10,88.9,25.9,28.9,15,11.6,4.3,"MI",2013,0.662215057735821,0.00601190191940277
